feature,importance
mean_hosp_days,1116
ma2_kmeans_dist,793
mean_hosp_dist,792
MAX_PAYM_YM,786
RESI_COST,726
ma2_pca_2,714
TOTALPREM,701
MAX_PRM,695
AGE,668
JPBASE_HSHD_INCM,611
sum_dmnd_amt,607
ma2_pca_1,590
CTPR,520
ma2_pca_0,518
RCBASE_HSHD_INCM,454
nunique_hosp,449
CUST_RGST,422
claim_cnt,422
CUST_INCM,408
paym_rate,344
acci_pct_1,320
sum_paym_amt,290
OCCP_GRP_1,268
LTBN_CHLD_AGE,257
RESI_TYPE_CODE,244
acci_pct_2,226
acci_pct_3,222
MAXCRDT,177
MATE_OCCP_GRP_1,163
MINCRDT,159
CHLD_CNT,99
ma2_kmeans_cluster,84
SEX,62
is_heed_hosp,50
WEDD_YN,43
DIVIDED_SET,0
