variant,n_features,threshold,precision,recall,f1,ap,roc_auc,tp,fp,fn,tn
base_plus_kmeans2_numeric,33,0.5274242800164023,0.5532994923857868,0.6033210332103321,0.5772285966460724,0.563199994578775,0.9018607833658552,327,264,215,5377
base_plus_kmeans2_onehot,34,0.5274242800164023,0.5532994923857868,0.6033210332103321,0.5772285966460724,0.563199994578775,0.9018607833658552,327,264,215,5377
base_plus_k2_numeric_plus_pca3,36,0.600292996496517,0.5847619047619048,0.566420664206642,0.5754451733833177,0.5769824291479227,0.9029891850061914,307,218,235,5423
base_plus_pca3_current_count,34,0.5435267470153313,0.5532646048109966,0.5940959409594095,0.5729537366548043,0.5654967190165365,0.9007490624454196,322,260,220,5381
base_plus_kmeans5_onehot,37,0.4605661887189439,0.5206738131699847,0.6273062730627307,0.5690376569037657,0.5642303071664101,0.8985746815454326,340,313,202,5328
base_plus_kmeans5_numeric_current_style,33,0.5324807999874037,0.5553602811950791,0.5830258302583026,0.5688568856885688,0.5665506137431686,0.8991454238243854,316,253,226,5388
base_plus_pca5,36,0.5699925869979219,0.5613718411552346,0.5738007380073801,0.5675182481751825,0.5626938214618514,0.8991277618856671,311,243,231,5398
base_only,31,0.4903914104647524,0.5217391304347826,0.6199261992619927,0.5666104553119731,0.5743006989982561,0.9021037985597017,336,308,206,5333
base_plus_pca10,41,0.4505977235741344,0.5184615384615384,0.6217712177121771,0.5654362416107382,0.5669284602271527,0.898741488744439,337,313,205,5328
base_plus_k5_numeric_plus_pca3_existing_A2,36,0.5953887759335681,0.5891783567134269,0.5424354243542435,0.5648414985590778,0.562828363391929,0.8989396949456111,294,205,248,5436
base_plus_pca2,33,0.5973754370585351,0.5790513833992095,0.540590405904059,0.5591603053435115,0.5696790958246045,0.8999235303468085,293,213,249,5428
pca3_only,3,0.6443000233860279,0.32566585956416466,0.496309963099631,0.3932748538011696,0.31329194519218057,0.8160303026536737,269,557,273,5084
kmeans5_only_numeric,2,0.7970488641566525,0.3949843260188088,0.23247232472324722,0.2926829268292683,0.20989144693538586,0.6447206175660409,126,193,416,5448
kmeans2_only_numeric,2,0.6334590826058355,0.1675025075225677,0.3081180811808118,0.21702404158544508,0.15542138885163403,0.6064848097514834,167,830,375,4811
