k,top_n_high_risk_clusters,seed,positive_clusters_train,precision,recall,f1,tp,fp,fn,tn
2,1,42,0,0.1048951048951049,0.44280442804428044,0.1696113074204947,240,2048,302,3593
2,1,43,0,0.10035056967572305,0.4225092250922509,0.1621813031161473,229,2053,313,3588
2,1,44,0,0.1129725085910653,0.48523985239852396,0.18327526132404182,263,2065,279,3576
2,1,45,0,0.1041926110419261,0.46309963099630996,0.1701118264994917,251,2158,291,3483
2,1,46,0,0.1080391322841344,0.46863468634686345,0.1755962668510197,254,2097,288,3544
2,1,47,0,0.10353753235547886,0.44280442804428044,0.16783216783216784,240,2078,302,3563
2,1,48,0,0.10670603121045973,0.466789667896679,0.17370408513559904,253,2118,289,3523
2,1,49,0,0.11334792122538294,0.477859778597786,0.1832331093031482,259,2026,283,3615
2,1,50,0,0.11153846153846154,0.48154981549815495,0.18112421929215822,261,2079,281,3562
2,1,51,0,0.10083663584324086,0.4225092250922509,0.16281549946676147,229,2042,313,3599
5,1,42,3,0.4227129337539432,0.24723247232472326,0.3119906868451688,134,183,408,5458
5,2,42,2|3,0.13691073219658978,0.503690036900369,0.21529968454258674,273,1721,269,3920
5,1,43,3,0.4294478527607362,0.25830258302583026,0.3225806451612903,140,186,402,5455
5,2,43,3|4,0.22332506203473945,0.33210332103321033,0.26706231454005935,180,626,362,5015
5,1,44,3,0.4398826979472141,0.2767527675276753,0.33975084937712347,150,191,392,5450
5,2,44,3|4,0.23233532934131737,0.35793357933579334,0.28177196804647786,194,641,348,5000
5,1,45,3,0.4672897196261682,0.2767527675276753,0.34762456546929316,150,171,392,5470
5,2,45,3|4,0.22853688029020555,0.34870848708487084,0.27611395178962744,189,638,353,5003
5,1,46,3,0.4812286689419795,0.26014760147601473,0.3377245508982036,141,152,401,5489
5,2,46,2|3,0.1437591063623118,0.5461254612546126,0.22760476739715493,296,1763,246,3878
5,1,47,3,0.4818181818181818,0.2933579335793358,0.3646788990825688,159,171,383,5470
5,2,47,3|4,0.23952095808383234,0.36900369003690037,0.29048656499636893,200,635,342,5006
5,1,48,3,0.43730886850152906,0.26383763837638374,0.3291139240506329,143,184,399,5457
5,2,48,3|4,0.22169249106078665,0.34317343173431736,0.26937002172338886,186,653,356,4988
5,1,49,3,0.4378698224852071,0.2730627306273063,0.33636363636363636,148,190,394,5451
5,2,49,3|4,0.21411483253588517,0.33025830258302585,0.2597968069666183,179,657,363,4984
5,1,50,3,0.4507462686567164,0.2785977859778598,0.3443557582668187,151,184,391,5457
5,2,50,3|4,0.22968197879858657,0.35977859778597787,0.2803738317757009,195,654,347,4987
5,1,51,3,0.44,0.26383763837638374,0.32987312572087657,143,182,399,5459
5,2,51,3|4,0.21997621878715815,0.3413284132841328,0.2675343456254519,185,656,357,4985
