component,explained_variance_ratio,cumulative_explained_variance_ratio
pca_0,0.1205124439744125,0.1205124439744125
pca_1,0.10937634906159534,0.22988879303600784
pca_2,0.07759769606169005,0.3074864890976979
pca_3,0.07052587199806483,0.3780123610957627
pca_4,0.06285580366482837,0.4408681647605911
pca_5,0.05452579326742301,0.4953939580280141
pca_6,0.05108607126911067,0.5464800292971248
pca_7,0.047081500990930836,0.5935615302880557
pca_8,0.0454480327361826,0.6390095630242383
pca_9,0.039873712682560465,0.6788832757067987
pca_10,0.03905955983998348,0.7179428355467822
pca_11,0.03785244364220815,0.7557952791889904
pca_12,0.035439444841278346,0.7912347240302687
pca_13,0.03460089871405433,0.8258356227443231
pca_14,0.03259407566878638,0.8584296984131095
