seed,variant,n_features,threshold,precision,recall,f1,ap,roc_auc,tp,fp,fn,tn
42,base_only,31,0.4903914104647524,0.5217391304347826,0.6199261992619927,0.5666104553119731,0.5743006989982561,0.9021037985597017,336,308,206,5333
42,base_plus_kmeans2_numeric,33,0.5274242800164023,0.5532994923857868,0.6033210332103321,0.5772285966460724,0.563199994578775,0.9018607833658552,327,264,215,5377
42,base_plus_kmeans2_onehot,34,0.5274242800164023,0.5532994923857868,0.6033210332103321,0.5772285966460724,0.563199994578775,0.9018607833658552,327,264,215,5377
42,base_plus_kmeans5_numeric_current_style,33,0.5324807999874037,0.5553602811950791,0.5830258302583026,0.5688568856885688,0.5665506137431686,0.8991454238243854,316,253,226,5388
42,base_plus_kmeans5_onehot,37,0.4605661887189439,0.5206738131699847,0.6273062730627307,0.5690376569037657,0.5642303071664101,0.8985746815454326,340,313,202,5328
42,base_plus_pca2,33,0.5973754370585351,0.5790513833992095,0.540590405904059,0.5591603053435115,0.5696790958246045,0.8999235303468085,293,213,249,5428
42,base_plus_pca3_current_count,34,0.5435267470153313,0.5532646048109966,0.5940959409594095,0.5729537366548043,0.5654967190165365,0.9007490624454196,322,260,220,5381
42,base_plus_pca5,36,0.5699925869979219,0.5613718411552346,0.5738007380073801,0.5675182481751825,0.5626938214618514,0.8991277618856671,311,243,231,5398
42,base_plus_pca10,41,0.4505977235741344,0.5184615384615384,0.6217712177121771,0.5654362416107382,0.5669284602271527,0.898741488744439,337,313,205,5328
42,base_plus_k5_numeric_plus_pca3_existing_A2,36,0.5953887759335681,0.5891783567134269,0.5424354243542435,0.5648414985590778,0.562828363391929,0.8989396949456111,294,205,248,5436
42,base_plus_k2_numeric_plus_pca3,36,0.600292996496517,0.5847619047619048,0.566420664206642,0.5754451733833177,0.5769824291479227,0.9029891850061914,307,218,235,5423
43,base_only,31,0.6112832583648761,0.6092592592592593,0.6070110701107011,0.6081330868761553,0.6141973566282817,0.9101053109449726,329,211,213,5430
43,base_plus_kmeans2_numeric,33,0.567910060974383,0.5943562610229277,0.6217712177121771,0.6077547339945897,0.6101648396092839,0.9083224363532414,337,230,205,5411
43,base_plus_kmeans2_onehot,34,0.567910060974383,0.5943562610229277,0.6217712177121771,0.6077547339945897,0.6101648396092839,0.9083224363532414,337,230,205,5411
43,base_plus_kmeans5_numeric_current_style,33,0.6358778915381349,0.6259842519685039,0.5867158671586716,0.6057142857142858,0.6242933986354344,0.9119948113148921,318,190,224,5451
43,base_plus_kmeans5_onehot,37,0.6568078090708583,0.6341463414634146,0.5756457564575646,0.6034816247582205,0.6209027884770865,0.9119297237999857,312,180,230,5461
43,base_plus_pca2,33,0.5550920082236396,0.589041095890411,0.6346863468634686,0.61101243339254,0.6099139101650263,0.9099319622871818,344,240,198,5401
43,base_plus_pca3_current_count,34,0.5246622626667014,0.5678391959798995,0.6254612546125461,0.5952589991220368,0.6181264539739564,0.9084427991948772,339,258,203,5383
43,base_plus_pca5,36,0.5013512399299742,0.567524115755627,0.6512915129151291,0.6065292096219931,0.6160861359105869,0.9110230776124459,353,269,189,5372
43,base_plus_pca10,41,0.5298575510506185,0.5921501706484642,0.6402214022140221,0.6152482269503546,0.6211374169299928,0.9104314026653827,347,239,195,5402
43,base_plus_k5_numeric_plus_pca3_existing_A2,36,0.5156596872674926,0.571900826446281,0.6383763837638377,0.6033129904097646,0.6119023407752677,0.9109308430435838,346,259,196,5382
43,base_plus_k2_numeric_plus_pca3,36,0.478317636338247,0.5518867924528302,0.6476014760147601,0.5959252971137521,0.6141994086913053,0.9102871634991833,351,285,191,5356
44,base_only,31,0.6260285184232143,0.5836431226765799,0.5793357933579336,0.5814814814814815,0.6130955459783893,0.9082318371490753,314,224,228,5417
44,base_plus_kmeans2_numeric,33,0.6265119743749924,0.5955056179775281,0.5867158671586716,0.5910780669144982,0.6175431358974101,0.9085831134858059,318,216,224,5425
44,base_plus_kmeans2_onehot,34,0.6265119743749924,0.5955056179775281,0.5867158671586716,0.5910780669144982,0.6175431358974101,0.9085831134858059,318,216,224,5425
44,base_plus_kmeans5_numeric_current_style,33,0.6421641643715222,0.6104417670682731,0.5608856088560885,0.5846153846153846,0.6110208397279399,0.9070906796641091,304,194,238,5447
44,base_plus_kmeans5_onehot,37,0.49278408075180347,0.5381165919282511,0.6642066420664207,0.5945499587118084,0.6214213094815129,0.9094518192123954,360,309,182,5332
44,base_plus_pca2,33,0.6048582178445365,0.5776173285198556,0.5904059040590406,0.583941605839416,0.6059562102045815,0.9091355396801618,320,234,222,5407
44,base_plus_pca3_current_count,34,0.5990682896927498,0.5844155844155844,0.5811808118081181,0.5827937095282146,0.6075706367487591,0.9065526446790794,315,224,227,5417
44,base_plus_pca5,36,0.5794137573116261,0.5608465608465608,0.5867158671586716,0.5734896302975654,0.6065477301452072,0.9055478766097712,318,249,224,5392
44,base_plus_pca10,41,0.4967165990004068,0.5424836601307189,0.6125461254612546,0.5753899480069324,0.6010264315175168,0.9053630803991076,332,280,210,5361
44,base_plus_k5_numeric_plus_pca3_existing_A2,36,0.4913692875108129,0.5309597523219814,0.6328413284132841,0.5774410774410774,0.6075504726049584,0.9050889932760345,343,303,199,5338
44,base_plus_k2_numeric_plus_pca3,36,0.47360938654707574,0.5348148148148149,0.6660516605166051,0.5932621199671323,0.6219057092552821,0.90856872227648,361,314,181,5327
45,base_only,31,0.6325083309967303,0.6186770428015564,0.5867158671586716,0.6022727272727273,0.6321048551900145,0.9079695246518146,318,196,224,5445
45,base_plus_kmeans2_numeric,33,0.5813897779780324,0.5931899641577061,0.6107011070110702,0.6018181818181818,0.6273746691758576,0.9101458679894369,331,227,211,5414
45,base_plus_kmeans2_onehot,34,0.5813897779780324,0.5931899641577061,0.6107011070110702,0.6018181818181818,0.6273746691758576,0.9101458679894369,331,227,211,5414
45,base_plus_kmeans5_numeric_current_style,33,0.6582045151625886,0.639344262295082,0.5756457564575646,0.6058252427184466,0.6299678190995079,0.9108170216607325,312,176,230,5465
45,base_plus_kmeans5_onehot,37,0.6716487861055925,0.6434599156118144,0.5627306273062731,0.6003937007874016,0.6238605109175378,0.9062160866246138,305,169,237,5472
45,base_plus_pca2,33,0.5468814747798356,0.5695142378559463,0.6273062730627307,0.5970149253731343,0.6249979998019668,0.9102181511090062,340,257,202,5384
45,base_plus_pca3_current_count,34,0.5964039208014077,0.5970695970695971,0.6014760147601476,0.5992647058823529,0.6288450873549782,0.9080117170609749,326,220,216,5421
45,base_plus_pca5,36,0.5316967456381512,0.5520661157024793,0.6162361623616236,0.5823888404533566,0.6242868241196838,0.906420180138692,334,271,208,5370
45,base_plus_pca10,41,0.602296219170699,0.6080305927342257,0.5867158671586716,0.5971830985915493,0.6357743027827965,0.9114721487580059,318,205,224,5436
45,base_plus_k5_numeric_plus_pca3_existing_A2,36,0.5180308811634209,0.5555555555555556,0.6273062730627307,0.5892547660311959,0.6240687160952337,0.9071734291177338,340,272,202,5369
45,base_plus_k2_numeric_plus_pca3,36,0.6175497615304647,0.5988372093023255,0.5701107011070111,0.5841209829867675,0.6299822816870506,0.9090838621557639,309,207,233,5434
46,base_only,31,0.5947179946674994,0.5823970037453183,0.5738007380073801,0.5780669144981413,0.5900234987449753,0.9057205711216836,311,223,231,5418
46,base_plus_kmeans2_numeric,33,0.5474960467066101,0.5625,0.6143911439114391,0.5873015873015873,0.5922589274974326,0.9074341062502984,333,259,209,5382
46,base_plus_kmeans2_onehot,34,0.5474960467066101,0.5625,0.6143911439114391,0.5873015873015873,0.5922589274974326,0.9074341062502984,333,259,209,5382
46,base_plus_kmeans5_numeric_current_style,33,0.5392606553534719,0.5562805872756933,0.6291512915129152,0.5904761904761905,0.5891349732701907,0.9086897392639942,341,272,201,5369
46,base_plus_kmeans5_onehot,37,0.6640787670018675,0.6086956521739131,0.5424354243542435,0.5736585365853658,0.5919856645085365,0.9080748421382459,294,189,248,5452
46,base_plus_pca2,33,0.5765474422364649,0.5752688172043011,0.5922509225092251,0.5836363636363636,0.5965652567801486,0.9055616136732187,321,237,221,5404
46,base_plus_pca3_current_count,34,0.4392308487564386,0.5191176470588236,0.6512915129151291,0.5777414075286416,0.5930179909024706,0.9088454259830668,353,327,189,5314
46,base_plus_pca5,36,0.5050340903764708,0.5535117056856187,0.6107011070110702,0.5807017543859649,0.5870083614562558,0.9054975073771301,331,267,211,5374
46,base_plus_pca10,41,0.5573363697686027,0.5891181988742964,0.5793357933579336,0.5841860465116279,0.5828150636783672,0.9043867676755122,314,219,228,5422
46,base_plus_k5_numeric_plus_pca3_existing_A2,36,0.4700667955511666,0.5306748466257669,0.6383763837638377,0.5795644891122278,0.5863520556796457,0.9056018436447438,346,306,196,5335
46,base_plus_k2_numeric_plus_pca3,36,0.5081477778585913,0.5538971807628524,0.6162361623616236,0.5834061135371179,0.5906890149940082,0.9075822702917687,334,269,208,5372
47,base_only,31,0.5990071398677626,0.6089385474860335,0.6033210332103321,0.6061167747914736,0.6311504766070712,0.9118862230990683,327,210,215,5431
