variant,n,n_features,f1_mean,f1_std,f1_min,f1_max,precision_mean,recall_mean,ap_mean,roc_auc_mean
base_plus_kmeans2_numeric,10,33,0.5936546599788789,0.013555451484866973,0.5746268656716418,0.616871704745167,0.5776242174462404,0.6123616236162361,0.6072257810893212,0.9075637579634084
base_plus_kmeans2_onehot,10,34,0.5936546599788789,0.013555451484866973,0.5746268656716418,0.616871704745167,0.5776242174462404,0.6123616236162361,0.6072257810893212,0.9075637579634084
base_plus_kmeans5_numeric_current_style,10,33,0.5912774499291595,0.014397604953969956,0.5688568856885688,0.6058252427184466,0.586031817023619,0.6001845018450185,0.6073476012600929,0.9068380812331436
base_only,10,31,0.5898275793329419,0.015659281478322754,0.5666104553119731,0.6081330868761553,0.597364737559389,0.5846863468634687,0.6092311289673125,0.907460533743788
base_plus_kmeans5_onehot,10,37,0.5897150948128443,0.01690473398487199,0.5680272108843537,0.6133333333333333,0.5878692014130154,0.5977859778597786,0.6086744524476769,0.9067949076051655
base_plus_pca10,10,41,0.5893261047169408,0.01669437000960294,0.5654362416107382,0.6152482269503546,0.5705884285903035,0.6112546125461255,0.6063595978328762,0.9058287014353923
base_plus_pca3_current_count,10,34,0.5887899931824225,0.013996618623511115,0.5724770642201835,0.6067193675889329,0.5778626878106414,0.6027675276752766,0.6100699062952224,0.9077015210854112
base_plus_k2_numeric_plus_pca3,10,36,0.5885564540815441,0.012340416869687154,0.566497461928934,0.604524886877828,0.584566455362068,0.5972324723247232,0.6075823405209957,0.9069344696283339
base_plus_pca2,10,33,0.587956745163532,0.015288088360618882,0.5591603053435115,0.61101243339254,0.5867923529120918,0.594280442804428,0.6079660742943898,0.9068336657484638
base_plus_k5_numeric_plus_pca3_existing_A2,10,36,0.5861895462384742,0.014038545225492357,0.5648414985590778,0.6054158607350096,0.5709630728363133,0.6062730627306273,0.6056177605332866,0.906555293969887
base_plus_pca5,10,36,0.5859984886524037,0.015326022212966648,0.5633074935400517,0.6065292096219931,0.5529355229851982,0.6247232472324724,0.6043451682211438,0.9053244203776908
