version,rank,feature,gain,is_new_from_prev
v2,1,mean_hosp_days,692,False
v2,2,MAX_PAYM_YM,519,False
v2,3,mean_hosp_dist,449,False
v2,4,ma2_pca_2,437,True
v2,5,AGE,430,False
v2,6,RESI_COST,428,False
v2,7,ma2_kmeans_dist,417,True
v2,8,MAX_PRM,389,False
v2,9,JPBASE_HSHD_INCM,387,False
v2,10,TOTALPREM,386,False
v2,11,CTPR,366,False
v2,12,sum_dmnd_amt,326,False
v2,13,ma2_pca_1,325,True
v2,14,ma2_pca_0,325,True
v2,15,nunique_hosp,286,False
v2,16,RCBASE_HSHD_INCM,267,False
v2,17,claim_cnt,258,False
v2,18,CUST_RGST,251,False
v2,19,CUST_INCM,230,False
v2,20,paym_rate,210,False
v3,1,mean_hosp_days,653,False
v3,2,MAX_PAYM_YM,517,False
v3,3,ma3_std_dmnd_amt,480,True
v3,4,mean_hosp_dist,448,False
v3,5,MAX_PRM,392,False
v3,6,RESI_COST,390,False
v3,7,TOTALPREM,385,False
v3,8,AGE,382,False
v3,9,CTPR,355,False
v3,10,sum_dmnd_amt,334,False
v3,11,ma3_absdiff_hh_incm_est,297,True
v3,12,ma3_max_dmnd_amt,294,True
v3,13,JPBASE_HSHD_INCM,293,False
v3,14,nunique_hosp,281,False
v3,15,claim_cnt,268,False
v3,16,CUST_RGST,239,False
v3,17,RCBASE_HSHD_INCM,237,False
v3,18,ma3_max_nonpay_ratio,234,True
v3,19,acci_pct_1,216,False
v3,20,sum_paym_amt,206,False
v4,1,mean_hosp_days,337,False
v4,2,AGE,334,False
v4,3,cust_claim_first_claim_lag_m,325,True
v4,4,peer_z_paym_sum_spec,309,True
v4,5,mean_hosp_dist,268,False
v4,6,RESI_COST,256,False
v4,7,MAX_PRM,254,False
v4,8,claim_agg_vlid_std,246,True
v4,9,CTPR,245,False
v4,10,MAX_PAYM_YM,233,False
v4,11,cust_claim_tenure_m,225,True
v4,12,claim_agg_claim_intensity,225,True
v4,13,cust_claim_vlid_sum,223,True
v4,14,cust_claim_prem_incm_ratio,218,True
v4,15,TOTALPREM,215,False
v4,16,cust_claim_peer_paym_z,213,True
v4,17,ma3_absdiff_hh_incm_est,187,False
v4,18,claim_agg_paym_max_ratio,184,True
v4,19,claim_agg_dsas_top_share,181,True
v4,20,claim_agg_paym_cv,172,True
v5,1,mean_hosp_days,444,False
v5,2,AGE,330,False
v5,3,peer_z_paym_sum_spec,327,False
v5,4,CTPR,284,False
v5,5,mean_hosp_dist,281,False
v5,6,RESI_COST,277,False
v5,7,claim_agg_vlid_std,259,False
v5,8,cust_claim_peer_paym_z,255,False
v5,9,MAX_PRM,246,False
v5,10,TOTALPREM,245,False
v5,11,claim_agg_claim_intensity,244,False
v5,12,MAX_PAYM_YM,235,False
v5,13,cust_claim_tenure_m,228,False
v5,14,ma3_absdiff_hh_incm_est,223,False
v5,15,claim_agg_vlid_max,213,False
v5,16,cust_claim_prem_incm_ratio,210,False
v5,17,claim_agg_paym_max_ratio,208,False
v5,18,claim_agg_paym_cv,205,False
v5,19,ma3_std_dmnd_amt,195,False
v5,20,JPBASE_HSHD_INCM,194,False
