feature,max_abs_corr_with_prior,top_prior_corrs
claim_agg_acci_nunique,1.0,ma3_nunique_acci_dvsn:1.000; nunique_hosp:0.525; claim_cnt:0.440; mean_hosp_days:0.175; acci_pct_3:0.173
claim_agg_claim_intensity,0.3742622523522481,ma3_nunique_acci_dvsn:0.374; nunique_hosp:0.350; claim_cnt:0.270; mean_hosp_days:0.121; sum_paym_amt:0.090
claim_agg_dmnd_paym_spread_mean,0.2605051976618846,paym_rate:0.261; ma3_mean_paym_dmnd_ratio:0.249; ma3_std_dmnd_amt:0.185; ma3_max_dmnd_amt:0.161; sum_dmnd_amt:0.133
claim_agg_dsas_nunique,0.9117295371487186,claim_cnt:0.912; nunique_hosp:0.859; ma3_nunique_acci_dvsn:0.468; sum_paym_amt:0.359; sum_dmnd_amt:0.356
claim_agg_dsas_top_share,0.5547025371845963,nunique_hosp:0.555; claim_cnt:0.516; ma3_nunique_acci_dvsn:0.492; sum_paym_amt:0.166; sum_dmnd_amt:0.164
claim_agg_heed_frac,1.0,ma3_frac_heed_claim_rows:1.000; is_heed_hosp:0.789; CTPR:0.051; AGE:0.038; claim_cnt:0.034
claim_agg_hosp_spec_nunique,0.811739253155687,nunique_hosp:0.812; claim_cnt:0.642; ma3_nunique_acci_dvsn:0.568; sum_paym_amt:0.216; sum_dmnd_amt:0.214
claim_agg_hosp_switch_count,0.9352223868795599,nunique_hosp:0.935; claim_cnt:0.848; ma3_nunique_acci_dvsn:0.454; sum_paym_amt:0.306; sum_dmnd_amt:0.304
claim_agg_house_hosp_dist_mean,0.9999999999999999,mean_hosp_dist:1.000; sum_paym_amt:0.077; sum_dmnd_amt:0.077; ma3_max_dmnd_amt:0.073; CHLD_CNT:0.068
claim_agg_n_claims,0.9999999999999999,claim_cnt:1.000; nunique_hosp:0.789; ma3_nunique_acci_dvsn:0.440; sum_paym_amt:0.419; sum_dmnd_amt:0.417
