iter	Passed	Remaining
0	278	138758
1	327	81449
2	375	62223
3	464	57595
4	519	51390
5	564	46443
6	617	43476
7	654	40259
8	703	38375
9	785	38490
10	839	37339
11	887	36107
12	940	35249
13	1012	35162
14	1077	34823
15	1145	34651
16	1196	34004
17	1269	33984
18	1318	33372
19	1363	32725
20	1404	32025
21	1449	31499
22	1505	31218
23	1592	31594
24	1660	31544
25	1715	31271
26	1764	30911
27	1804	30425
28	1857	30165
29	1911	29948
30	1980	29960
31	2032	29724
32	2087	29541
33	2142	29370
34	2190	29099
35	2234	28797
36	2293	28696
37	2366	28772
38	2428	28700
39	2488	28615
40	2586	28952
41	2658	28990
42	2735	29067
43	2797	28994
44	2867	28991
45	2920	28827
46	3001	28929
47	3078	28985
48	3131	28819
49	3178	28607
50	3230	28440
51	3294	28381
52	3347	28235353	3416	28221
54	3472	28094
55	3518	27894
56	3575	27788
57	3629	27656
58	3678	27498
59	3752	27520
60	3804	27379
61	3881	27418
62	3945	27366
63	4006	27295
64	4054	27136
65	4110	27029
66	4157	26870
67	4208	26734
68	4255	26583
69	4295	26383
70	4345	26259
71	4390	26097272	4447	26016
73	4503	25926
74	4564	25863
75	4606	25700
76	4655	25577777	4715	25517878	4761	25377979	4807	252380	4843	25053
8181	4930	25138282	4993	25088383	5044	24988484	5085	248285	5111	24607
86	5165	24519
8787	5220	24448888	5285	24408989	5352	24381
90	5419	24357
91	5474	24278
92	5524	24178
93	5589	24140
94	5661	24133
95	5722	24080
96	5776	23998
97	5839	23955
98	5893	23871
99	5955	23823
100	6010	23744
101	6090	23765
102	6153	23719
103	6228	23717
104	6310	23741
105	6376	23699
106	6462	23736
107	6507	23621
108	6569	23567
109	6616	23459
110	6683	23420
111	6737	23341
112	6803	23300
113	6851	23197
114	6904	23114
115	6960	23042
116	7017	22973
117	7069	22885
118	7124	228011119	7191	22772
120	7266	22759
121	7326	22701
122	7399	22680
123	7465	22637
124	7523	22571
125	7595	22544
126	7662	22503
127	7766	22571
128	7844	22561
129	7914	22524
130	7990	22508
131	8068	22495
132	8133	22442
133	8203	22407
134	8256	22323
135	8312	22247
136	8423	22319
137	8508	22318
138	8570	22259
139	8640	22219
140	8709	22174
141	8772	22116
142	8842	22074
143	8901	22007
144	8972	21967
145	9021	21874
146	9095	21841
147	9168	21805
148	9238	21763
149	9314	21734
150	9386	21693
151	9460	21658
152	9520	21593
153	9592	21551
154	9651	21482
155	9716	21425
156	9772	21350
157	9829	21277
158	9889	21209
159	9951	21146
160	10008	21072
